City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Codrington,AU,-38.2667,141.9667,51.01,81,99,21.56,overcast clouds
277,Yinchuan,CN,38.4681,106.2731,76.1,32,87,4.12,overcast clouds
278,Port Hedland,AU,-20.3167,118.5667,68.05,73,9,4.61,clear sky
279,Anori,BR,-3.7728,-61.6442,98.85,34,100,1.28,overcast clouds
280,Agucadoura,PT,41.4318,-8.7804,84.31,59,100,9.42,overcast clouds
281,Fairbanks,US,64.8378,-147.7164,46.92,86,0,1.99,clear sky
282,Chumikan,RU,54.7183,135.315,50.56,74,98,14.74,overcast clouds
283,Turukhansk,RU,65.8167,87.9833,39.51,87,100,7.85,overcast clouds
284,Vanimo,PG,-2.6741,141.3028,77.2,88,20,3.29,few clouds
285,Shingu,JP,33.7333,135.9833,79.54,94,100,15.28,overcast clouds
286,Orotukan,RU,62.2667,151.7,33.12,67,0,6.15,clear sky
287,Geraldton,AU,-28.7667,114.6,54.01,94,0,5.75,clear sky
288,Erzin,TR,36.9559,36.2,82.18,64,0,6.11,clear sky
289,Jarville-La-Malgrange,FR,48.6691,6.2064,57.52,74,75,16.11,broken clouds
290,Guerrero Negro,MX,27.9769,-114.0611,69.48,77,1,14.99,clear sky
291,Waspan,NI,14.7419,-83.9717,82.27,81,100,2.08,overcast clouds
292,Luanshya,ZM,-13.1367,28.4166,86.38,16,63,2.73,broken clouds
293,Opuwo,NA,-18.0607,13.84,91.27,10,1,3.38,clear sky
294,Berlevag,NO,70.8578,29.0864,46.35,87,100,26.46,overcast clouds
295,Finschhafen,PG,-6.6024,147.8681,79.41,84,17,8.72,few clouds
296,Yeppoon,AU,-23.1333,150.7333,60.58,95,6,4.56,clear sky
297,Serebryansk,KZ,49.6925,83.2892,48.49,46,0,3.78,clear sky
298,Yambio,SS,4.5721,28.3955,77.38,89,43,3.18,light rain
299,Campo Maior,BR,-4.8278,-42.1686,100.74,24,85,4.45,overcast clouds
300,Aransas Pass,US,27.9095,-97.15,89.98,74,40,11.01,scattered clouds
301,Laramie,US,41.3114,-105.5911,59.54,63,0,10.36,clear sky
302,Nadvoitsy,RU,63.8667,34.3167,52.41,81,100,4.65,light rain
303,Iqaluit,CA,63.7506,-68.5145,45.7,65,100,11.99,overcast clouds
304,Wonthaggi,AU,-38.6044,145.5913,51.82,81,69,21.59,broken clouds
305,Khuldabad,IN,20.05,75.1833,70.63,90,90,5.75,overcast clouds
306,Khasan,RU,42.4308,130.6434,67.57,96,100,4.63,overcast clouds
307,Thinadhoo,MV,0.5333,72.9333,82.49,67,12,8.43,few clouds
308,Westerland,DE,54.9079,8.3033,57.94,72,40,27.63,scattered clouds
309,Guiren,CN,33.6697,118.1889,68.85,93,0,5.99,clear sky
310,Shache,CN,38.4167,77.2406,72.72,24,100,4.83,overcast clouds
311,Kahului,US,20.8947,-156.47,74.84,77,0,3.44,clear sky
312,Yenangyaung,MM,20.4667,94.8833,80.74,81,95,7.47,overcast clouds
313,Akhisar,TR,38.9185,27.8401,95.9,17,0,9.15,clear sky
314,Berezovyy,RU,51.6667,135.7,45.09,94,100,2.48,overcast clouds
315,Agadez,NE,19.75,10.25,103.03,11,35,4.23,scattered clouds
316,Yabrud,SY,33.9674,36.6574,79.84,19,0,6.46,clear sky
317,Caraquet,CA,47.7941,-64.9386,57.52,54,0,17.76,clear sky
318,Mulege,MX,26.8833,-111.9833,85.55,52,0,1.88,clear sky
319,Bira,RU,49.0,132.4667,54.39,96,100,2.91,overcast clouds
320,Ihosy,MG,-22.4,46.1167,66.18,73,79,12.08,broken clouds
321,Seguela,CI,7.9611,-6.6731,77.99,77,96,6.17,overcast clouds
322,Haines Junction,CA,60.7522,-137.5108,35.13,92,15,3.6,few clouds
323,Roald,NO,62.5833,6.1333,53.76,87,75,17.27,broken clouds
324,Concordia,AR,-31.393,-58.0209,70.79,61,100,21.0,overcast clouds
325,Oeiras Do Para,BR,-2.0031,-49.8544,94.84,41,48,6.13,scattered clouds
326,Itupiranga,BR,-5.1347,-49.3267,93.52,34,98,2.84,overcast clouds
327,Saint George,US,37.1041,-113.5841,66.79,63,0,3.44,clear sky
328,Half Moon Bay,US,37.4636,-122.4286,60.66,85,100,13.8,mist
329,Samarai,PG,-10.6167,150.6667,81.64,79,70,10.33,broken clouds
330,Chernyshevskiy,RU,63.0128,112.4714,29.37,78,57,8.46,broken clouds
331,Katsuura,JP,35.1333,140.3,78.96,87,100,11.32,overcast clouds
332,Inuvik,CA,68.3499,-133.7218,38.95,89,93,8.16,overcast clouds
333,Ereymentau,KZ,51.6199,73.1033,50.4,45,6,7.47,clear sky
334,Marsh Harbour,BS,26.5412,-77.0636,84.51,69,33,13.38,scattered clouds
335,Aguimes,ES,27.9054,-15.4461,83.03,42,20,16.11,few clouds
336,Krasnyy Yar,RU,46.5331,48.3456,75.13,72,100,10.6,overcast clouds
337,Tucuman,AR,-26.8241,-65.2226,77.0,23,2,3.44,clear sky
338,Pahrump,US,36.2083,-115.9839,73.94,28,0,10.18,clear sky
339,Bolobo,CD,-2.1667,16.2333,83.52,61,100,3.58,overcast clouds
340,Yar-Sale,RU,66.8333,70.8333,51.22,66,100,9.53,overcast clouds
341,Qasigiannguit,GL,68.8193,-51.1922,44.85,88,100,1.28,overcast clouds
342,Ponta Delgada,PT,37.7333,-25.6667,77.72,65,20,12.66,few clouds
343,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.22,64,13,10.07,few clouds
344,Brvenica,MK,41.9672,20.9808,73.2,69,100,7.38,overcast clouds
345,Masuguru,TZ,-11.3667,38.4167,89.91,18,6,1.54,clear sky
